filename,ra,dec,lag_ms,lag_error,is_significant,lag_type
glg_tte_n9_bn171222684_v00.fit,130.8167,29.867,-14109.643061146098,1.0,True,negative
glg_tte_n9_bn171223818_v00.fit,151.85,-58.3,-6571.155289312225,1.0,True,negative
glg_tte_n9_bn171227000_v00.fit,304.2667,-52.817,-477.96614072892976,1.0,True,negative
glg_tte_n9_bn171230048_v00.fit,133.4167,-80.833,14548.093123985047,1.0,True,positive
glg_tte_n9_bn171230119_v00.fit,37.0,33.75,-51129.856526346324,1.0,True,negative
glg_tte_n9_bn171230955_v00.fit,108.0,-43.717,-131359.45036486932,1.0,True,negative
glg_tte_n9_bn180102660_v00.fit,205.2667,40.267,-35629.97065557372,1.0,True,negative
glg_tte_n9_bn180103090_v00.fit,41.8833,33.1,3370.0232849626177,1.0,True,positive
glg_tte_n9_bn180110608_v00.fit,60.7833,-52.883,-7849.292769779912,1.0,True,negative
glg_tte_n9_bn180111815_v00.fit,184.1,3.783,2829.093894968969,1.0,True,positive
glg_tte_n9_bn180112842_v00.fit,174.37499999999997,21.06181760164929,-24530.24379429425,1.0,True,negative
glg_tte_n9_bn180113011_v00.fit,354.375,12.941631985423339,-12909.284431343836,1.0,True,negative
glg_tte_n9_bn180113116_v00.fit,14.765625,66.44353569089876,-1748.189435299105,1.0,True,negative
glg_tte_n9_bn180113418_v00.fit,176.69117647058823,-64.94808409550689,469.58622822698436,1.0,True,positive
glg_tte_n9_bn180116026_v00.fit,213.39843749999997,25.94447977237,-28860.11052306905,1.0,True,negative
glg_tte_n9_bn180116678_v00.fit,48.8671875,-12.024699180565822,34940.62667982455,1.0,True,positive
glg_tte_n9_bn180119837_v00.fit,349.8046875,-14.477512185929934,-23842.193589897863,1.0,True,negative
glg_tte_n9_bn180120207_v00.fit,151.875,26.27681155719998,-28.723349988184665,1.0,True,negative
glg_tte_n9_bn180122129_v00.fit,28.124999999999996,-40.620185190672686,7508.891268323513,1.0,True,positive
glg_tte_n9_bn180123820_v00.fit,116.71875000000001,14.169522214770062,16709.373308331895,1.0,True,positive
glg_tte_n9_bn180124392_v00.fit,329.1532258064516,-43.40685848593699,30759.609428385895,1.0,True,positive
glg_tte_n9_bn180125891_v00.fit,213.3173076923077,-51.2558069488049,2379.5937581982953,1.0,True,positive
glg_tte_n9_bn180126095_v00.fit,305.0787401574803,42.2103698396502,-57630.34099466441,1.0,True,negative
glg_tte_n9_bn180127049_v00.fit,21.093749999999996,24.95302078772749,30640.623755105196,1.0,True,positive
glg_tte_n9_bn180127879_v00.fit,260.15625,2.686724185691592,-70228.99625281703,1.0,True,negative
glg_tte_n9_bn180128215_v00.fit,11.6015625,-25.944479772370013,-3199.386337732346,1.0,True,negative
glg_tte_n9_bn180128252_v00.fit,63.85,-21.717,-20.727289660201436,1.0,True,negative
glg_tte_n9_bn180128881_v00.fit,322.03124999999994,-11.719760305788782,20170.765198760695,1.0,True,positive
glg_tte_n9_bn180130049_v00.fit,272.8125,-1.492246289620352,-28781.234708656695,1.0,True,negative
glg_tte_n9_bn180130744_v00.fit,48.266129032258064,43.406858485936986,-78208.96913140311,1.0,True,negative
glg_tte_n9_bn180131528_v00.fit,300.9375,-48.1412077943603,57671.26562353068,1.0,True,positive
glg_tte_n9_bn180201706_v00.fit,255.93749999999994,-40.620185190672686,7871.508235814873,1.0,True,positive
glg_tte_n9_bn180201780_v00.fit,76.95,52.80185378173063,24438.776185615487,1.0,True,positive
glg_tte_n9_bn180204109_v00.fit,202.6,46.5,201.02975410663555,1.0,True,positive
glg_tte_n9_bn180205184_v00.fit,99.5167,64.567,1839.7916635912416,1.0,True,positive
glg_tte_n9_bn180205323_v02.fit,205.66406249999997,-15.71386104800821,2329.6362550686204,1.0,True,positive
glg_tte_n9_bn180206203_v00.fit,232.03124999999997,19.78804941066957,7440.656343491073,1.0,True,positive
glg_tte_n9_bn180208764_v00.fit,196.875,8.084013907099306,9159.204708934729,1.0,True,positive
glg_tte_n9_bn180210517_v00.fit,3.1640624999999996,20.74237995448713,3032.8372036110536,1.0,True,positive
glg_tte_n9_bn180210991_v00.fit,113.5546875,-27.279612735978088,1029.9338078167843,1.0,True,positive
glg_tte_n9_bn180211754_v00.fit,193.71093749999997,31.388166464348547,30910.830136770546,1.0,True,positive
glg_tte_n9_bn180218635_v00.fit,46.205357142857146,48.141207794360284,-29.989545365563057,1.0,True,negative
glg_tte_n9_bn180219482_v00.fit,86.1328125,32.79716829582364,26751.356255419374,1.0,True,positive
glg_tte_n9_bn180222239_v00.fit,55.19531249999999,12.024699180565822,16299.900853974335,1.0,True,positive
glg_tte_n9_bn180225417_v00.fit,178.9453125,-9.59406822686046,-26370.132767061492,1.0,True,negative
glg_tte_n9_bn180227211_v00.fit,97.38281249999999,-4.78019184719916,-11509.48947441878,1.0,True,negative
glg_tte_n9_bn180305393_v00.fit,46.05468749999999,32.79716829582364,1690.0786790585928,1.0,True,positive
glg_tte_n9_bn180306479_v00.fit,188.4375,-13.554784037179,13009.993141904166,1.0,True,positive
glg_tte_n9_bn180306973_v00.fit,16.5234375,-23.31795706533424,11880.89913218753,1.0,True,positive
glg_tte_n9_bn180307073_v00.fit,126.91406249999996,23.31795706533424,-6190.337897928692,1.0,True,negative
glg_tte_n9_bn180309322_v00.fit,187.03124999999997,33.152887928619876,-4520.972907920611,1.0,True,negative
glg_tte_n9_bn180311074_v00.fit,49.5703125,-35.68533471265204,-67148.8131489908,1.0,True,negative
glg_tte_n9_bn180313978_v00.fit,317.81249999999994,-26.27681155719998,-69120.21231639464,1.0,True,negative
glg_tte_n9_bn180314030_v00.fit,108.63281249999999,-30.000000000000018,-24208.80253189123,1.0,True,negative
glg_tte_n9_bn180330891_v00.fit,171.5625,84.14973293629666,46980.02666318839,1.0,True,positive
glg_tte_n9_bn180401280_v00.fit,126.5625,6.279288322550267,-14171.32862308883,1.0,True,negative
glg_tte_n9_bn180401846_v00.fit,165.9375,-40.620185190672686,-70752.1971046635,1.0,True,negative
glg_tte_n9_bn180402406_v00.fit,254.17968749999997,-12.024699180565822,-20901.411854390706,1.0,True,negative
glg_tte_n9_bn180402481_v00.fit,338.5546875,-27.279612735978088,-161640.2291604547,1.0,True,negative
glg_tte_n9_bn180403565_v00.fit,109.6875,-0.895282986570128,-50188.30240945102,1.0,True,negative
glg_tte_n9_bn180404091_v00.fit,52.08333333333333,-49.7023903266307,-33441.29483309398,1.0,True,negative
glg_tte_n9_bn180404848_v00.fit,102.65624999999999,12.32998415024295,-4508.784282060802,1.0,True,negative
glg_tte_n9_bn180405169_v00.fit,123.74999999999999,-33.86870460165652,3141.4815912194767,1.0,True,positive
glg_tte_n9_bn180410336_v00.fit,106.52343749999999,23.31795706533424,-9019.975262631968,1.0,True,negative
glg_tte_n9_bn180411519_v00.fit,356.25,67.93492864899142,8599.458249559962,1.0,True,positive
glg_tte_n9_bn180411546_v00.fit,285.46875,-19.78804941066958,-80980.60247959702,1.0,True,negative
glg_tte_n9_bn180412425_v00.fit,62.67857142857143,-58.91977535280316,-6738.7329620138535,1.0,True,negative
glg_tte_n9_bn180413118_v00.fit,169.1015625,-31.388166464348547,-9199.721547150863,1.0,True,negative
glg_tte_n9_bn180416340_v00.fit,116.91964285714286,-48.1412077943603,-27270.064616329968,1.0,True,negative
glg_tte_n9_bn180416924_v00.fit,354.375,75.34073424154306,6550.255622637782,1.0,True,positive
glg_tte_n9_bn180417689_v00.fit,311.1328125,-19.4712206344907,20629.677616801542,1.0,True,positive
glg_tte_n9_bn180418281_v00.fit,181.0546875,27.279612735978088,20798.280057054777,1.0,True,positive
glg_tte_n9_bn180420107_v00.fit,80.50781249999999,-24.62431835216409,14341.390988303707,1.0,True,positive
glg_tte_n9_bn180423033_v00.fit,208.4765625,8.38553864708132,32889.00382237692,1.0,True,positive
