obs_id,filename,ra,dec,lag_ms,lag_error,is_significant,lag_type
bat,sw00510701000bevshsp_uf.evt.gz,248.516279919147,-47.3791963548427,6779.275153561217,6.4,True,positive
bat,sw00510824000bevshsp_uf.evt.gz,245.216208496155,-15.6417252843502,-14.122236431757646,6.4,True,negative
bat,sw00512164000bevshsp_uf.evt.gz,249.3546667,-23.9617778,-13010.051620855347,6.4,True,negative
bat,sw00059018005bevshsp_uf.evt.gz,130.786,15.323,-23681.795700373656,6.4,True,negative
bat,sw00513505000bevshsp_uf.evt.gz,40.1003583767653,61.220476106393,40716.72245983657,6.4,True,positive
bat,sw00514586000bevshsp_uf.evt.gz,87.7536667,-24.7757778,465.0945413115941,6.4,True,positive
bat,sw00519043000bevshsp_uf.evt.gz,58.082,-17.6357778,50820.83070813722,6.4,True,positive
bat,sw00519256000bevshsp_uf.evt.gz,55.3382917,-89.0092778,72124.86270862368,6.4,True,positive
bat,sw00519380000bevshsp_uf.evt.gz,235.0095,12.8849722,-109498.32800229026,6.4,True,negative
bat,sw00519850000bevshsp_uf.evt.gz,176.936516196583,-61.9721359286726,55615.97872555472,6.4,True,positive
bat,sw00521085000bevshsp_uf.evt.gz,248.5063,-47.39349,43905.81386971396,6.4,True,positive
bat,sw00524542000bevshsp_uf.evt.gz,282.810875,-0.0010833,6594.684126108994,6.4,True,positive
bat,sw00526273000bevshsp_uf.evt.gz,128.981,-43.18681,-76031.26137411415,6.4,True,negative
bat,sw00526283000bevshsp_uf.evt.gz,270.2853,-25.07831,62021.269073902964,6.4,True,positive
bat,sw00526892000bevshsp_uf.evt.gz,267.0226,-24.77577,109820.94580867667,6.4,True,positive
bat,sw00528432000bevshsp_uf.evt.gz,268.607513837354,-26.3238447152092,-88647.86433007791,6.4,True,negative
bat,sw00528925000bevshsp_uf.evt.gz,186.546838617747,18.0664344663366,14526.197741491691,6.4,True,positive
bat,sw00530267000bevshsp_uf.evt.gz,241.2592917,-47.4796944,-13.535687860726918,6.4,True,negative
bat,sw00532871000bevshsp_uf.evt.gz,74.75,-9.3149722,-68.2283066679117,6.4,True,negative
bat,sw00533938000bevshsp_uf.evt.gz,266.301362111394,-26.404728366895,21.57061345512466,6.4,True,positive
bat,sw00534815000bevshsp_uf.evt.gz,136.6140833,0.4158889,-18.734651654898524,6.4,True,negative
bat,sw00535733000bevshsp_uf.evt.gz,277.193008572468,-10.4787267319539,36987.83330752625,6.4,True,positive
bat,sw00537921000bevshsp_uf.evt.gz,83.1936667,54.4736944,15.187960703993863,6.4,True,positive
bat,sw00538575000bevshsp_uf.evt.gz,345.792644979001,-40.746083625426,10807.032190519478,6.4,True,positive
bat,sw00539357000bevshsp_uf.evt.gz,256.027396559161,-37.8385707612661,48975.860073680604,6.4,True,positive
bat,sw00539358000bevshsp_uf.evt.gz,307.317875,-11.8597778,2235.3860846254165,6.4,True,positive
bat,sw00544347000bevshsp_uf.evt.gz,190.1007917,-50.594,148097.44362048892,6.4,True,positive
